Country,Kcal per day per capita from Wheat,Total Kcal per day per capita,GDP per capita,Population (1000 people),Wheat produced per capita (kg per year),Wheat imports per capita (kg per year)
The former Yugoslav Republic of Macedonia,762,2923,4940.945915,2104,121.6730038,68.44106464
Timor-Leste,77,2083,5288.267033,1096,0,10.94890511
Togo,88,2366,569.859954,6472,0,13.44252163
Trinidad and Tobago,682,2889,17659.68173,1333,0,102.7756939
Tunisia,1632,3362,4276.029556,10753,149.3536687,152.9805636
Turkey,1311,3680,10604.84015,73059,298.3889733,65.49501088
Turkmenistan,1464,2883,5495.120181,5107,254.5525749,36.2247895
Uganda,85,2279,517.9921856,35148,0.654375782,12.37623762
Ukraine,824,3142,3567.96478,45803,487.3916556,1.65927996
United Arab Emirates,769,3215,39057.85395,8925,0,125.4901961
United Kingdom,750,3414,39445.86994,62672,243.4420475,32.00791422
United Republic of Tanzania,116,2167,529.8746379,46355,2.437708985,24.46338043
United States of America,590,3639,49327.47,314912,172.7879535,12.52730922
Uruguay,815,2939,13723.91542,3383,595.9207804,12.11942063
Uzbekistan,1329,2675,1618.317926,28152,231.8485365,70.47456664
Vanuatu,343,2820,3112.175952,242,0,49.58677686
Venezuela,407,2880,10727.98257,29501,0,56.23538185
Viet Nam,66,2703,1507.434937,89914,0,27.65976377
Yemen,912,2185,1347.711892,23304,9.955372468,120.4514246
Zambia,88,1937,1408.561319,13634,17.38301306,1.833651166
Zimbabwe,231,2210,663.6426223,13359,1.721685755,41.02103451
