Country,Population (1000 people),Wheat produced per capita (kg per year),Wheat imports per capita (kg per year),Wheat used for food per capita (kg per year),Kcal per day per capita from Wheat,GDP per capita,Total Kcal per day per capita
Niger,16511,0.18169705,3.876203743,3.633941009,28,388.3263462,2546
Nigeria,164193,1.004914948,24.69045574,24.45902079,181,1496.303316,2724
Norway,4944,57.64563107,115.6957929,99.31229773,803,99248.69606,3484
Occupied Palestinian Territory,4114,4.375303841,97.22897423,116.9178415,840,2375.99105,2032
Pakistan,176166,143.1263694,0.357617247,113.8131081,904,1202.097869,2428
Panama,3740,0,50.80213904,37.70053476,308,8372.577255,2644
Paraguay,6573,222.7293473,5.476951164,33.16598205,236,3948.90485,2698
Peru,29615,7.226067871,58.78777646,54.33057572,342,6103.683737,2624
Philippines,95053,0,31.70862571,14.73914553,110,2357.571138,2608
Poland,38205,244.4444444,29.44640754,108.8600968,879,13500.02198,3485
Portugal,10598,5.56708813,143.5176448,88.7903378,658,22447.31366,3456
Republic of Korea,48733,0.902878953,100.3426836,51.8129399,405,22869.10709,3329
Republic of Moldova,3543,224.3861135,36.69206887,54.75585662,397,1980.056901,2837
Romania,21809,327.0209547,39.06644046,133.1101839,973,8373.205758,3363
Russian Federation,143438,392.0857792,3.137243966,130.7673002,1018,13239.75019,3358
Rwanda,11144,8.165829146,8.165829146,13.81909548,104,570.1668425,2148
Saint Kitts and Nevis,53,0,188.6792453,56.60377358,429,14184.79434,2507
Saint Lucia,179,0,33.51955307,89.38547486,640,7230.373548,2629
Saint Vincent and the Grenadines,109,0,174.3119266,64.22018349,510,6190.834708,2960
Samoa,187,0,64.17112299,53.47593583,408,3562.450025,2872
Sao Tome and Principe,183,0,54.64480874,54.64480874,375,1422.729744,2676
Saudi Arabia,27762,42.64822419,85.7286939,90.59145595,758,24116.17763,3122
Senegal,13331,0,35.25616983,32.85574976,261,1075.747799,2426
Serbia,9597,216.3175992,2.500781494,103.782432,780,6013.290199,2724
Sierra Leone,5865,0,11.25319693,11.93520887,97,499.9961984,2333
